time,overloaded_nodes,predicted_overloads,migrations,cpu_utilization,ram_utilization,latency,jitter,energy_consumption,reactive_migrations,proactive_migrations
0,0,0,0,0.5744054375393678,0.4545243500314943,12.93155328398393,0,744.6432625236207,0,0
1,0,0,0,0.3758758274814161,0.2957006619851329,11.266958861190336,0.8322972113967975,625.5254964888496,0,0
2,0,0,0,0.401687084517348,0.3163496676138785,11.48337632403007,0.7389878677367319,641.0122507104089,0,0
3,0,0,0,0.4273694549471927,0.33689556395775416,11.698713122249538,0.6455426090194496,656.4216729683156,0,0
4,0,0,0,0.45285913017660573,0.3572873041412846,11.912434245326923,0.5780177736267528,671.7154781059635,0,0
5,0,0,0,0.4780930604558367,0.3774744483646695,12.12401104536048,0.5368460489840303,686.8558362735021,0,0
6,0,0,0,0.5030092031633813,0.397407362530705,12.332923318831426,0.5193083826856557,701.8055218980287,0,0
7,0,0,0,0.527546767115135,0.41703741369210806,12.538661355042283,0.52158911125947,716.528060269081,0,0
8,0,0,0,0.5516464519349149,0.43631716154793193,12.740727943146595,0.5393207451857879,730.987871160949,0,0
9,0,1,1,0.5752506815417064,0.4552005452333652,12.488936242534933,0.5238386649402172,745.1504089250238,0,1
10,1,1,1,0.5983038308322126,0.4736430646657701,12.216209409004211,0.4570638338791612,758.9822984993275,0,1
11,1,1,1,0.6207524446641358,0.4916019557313087,11.922740979386598,0.3754165438062518,772.4514667984815,0,1
12,1,1,1,0.6425454482760115,0.5090363586208091,11.415560796287494,0.3877331611201214,785.5272689656068,0,1
13,1,1,1,0.6636343483132024,0.525907478650562,11.304462130327746,0.44615019887778185,798.1806089879215,0,1
14,1,1,0,0.6839734236667445,0.5421787389333956,11.439638754215903,0.4866957348356278,810.3840542000468,0,0
15,1,2,1,0.7035199053719292,0.5578159242975433,11.136211091055491,0.5572612664062109,822.1119432231575,0,1
16,2,2,1,0.7202005618238638,0.5727873158853538,10.81631158574672,0.6344249898674882,832.1203370943183,0,1
17,2,2,1,0.7325552252986665,0.5870638159006814,10.686470642267524,0.6620744293212374,839.5331351791999,0,1
18,2,2,1,0.7442857267417329,0.600619062012669,10.545690579437032,0.6152517617814091,846.5714360450397,0,1
19,2,2,1,0.7553717094884755,0.6134295309644606,10.183924114642675,0.5944995048777022,853.2230256930853,0,1
20,4,4,0,0.9153987684055427,0.8566018323937552,11.778588915649884,0.5280248811747391,949.2392610433255,0,0
21,2,2,1,0.7755414464722263,0.6367367825901283,10.094549708071327,0.5358966674863532,865.3248678833359,0,1
22,2,2,0,0.7845974411935419,0.6472014876014262,10.163677134444036,0.5560578065772004,870.7584647161251,0,0
23,2,2,0,0.7929535069985572,0.6568573858649993,10.227461770088983,0.5551157960622869,875.7721041991342,0,0
24,2,2,0,0.8006025670410244,0.6656962996918504,10.28584959507982,0.5088814349506312,880.3615402246146,0,0
25,2,2,0,0.8075403260841023,0.673713265697185,10.338807822441984,0.47893181111540956,884.5241956504615,0,0
26,2,2,0,0.8137652870826324,0.680906553962153,10.38632502473076,0.4688892351039528,888.2591722495795,0,0
27,2,2,0,0.8180314624418044,0.6872776744354117,10.428411176318535,0.4632855583072243,890.8188774650826,0,0
28,2,2,0,0.8209685132712563,0.6928313705492847,10.465097611224598,0.46213433925200564,892.5811079627538,0,0
29,2,2,0,0.8234774808092868,0.6975756000757425,10.496436896654183,0.45458575999496503,894.0864884855721,0,0
30,2,2,0,0.8255642565517176,0.7015215032977933,10.522502622746002,0.1379556050235081,895.3385539310306,0,0
31,2,3,1,0.8272363915789049,0.7046833586219292,10.318152406506657,0.11186658198565695,896.3418349473429,0,1
32,2,3,1,0.828503066532464,0.707078525806841,10.1079545899218,0.12254783308887349,897.1018399194784,0,1
33,3,3,1,0.8293750551614103,0.7087273770324849,9.892409728775577,0.18398008979844796,897.6250330968462,0,1
34,3,3,0,0.8994911161033035,0.8195344143775143,10.703893393239643,0.21533958846831314,939.6946696619821,0,0
35,3,3,1,0.8299857714171774,0.7098821859524809,9.673385318313326,0.29973441477372853,897.9914628503063,0,1
36,3,3,1,0.8297535970168364,0.7094431652681998,9.444757552802463,0.3914993132786131,897.8521582101018,0,1
37,3,2,1,0.8291848169611735,0.7083676538902189,9.212693053132483,0.48170637702647795,897.5108901767042,1,0
38,2,2,0,0.828297410099833,0.7066896481887752,9.20325427106186,0.5282970265862563,896.9784460598999,0,0
39,2,2,0,0.8271106043788217,0.7044455064617721,9.190630973847469,0.5402050133272999,896.266362627293,0,0
40,2,2,0,0.8256448007388828,0.7016738050335238,9.17504015331357,0.5174821869995059,895.3868804433297,0,0
41,2,2,0,0.8239214923852887,0.6984151856012732,9.156710419007162,0.4937566090151122,894.3528954311732,0,0
42,2,2,0,0.8219631797476747,0.6947121944319665,9.13588109367981,0.4747982712352039,893.1779078486047,0,0
43,2,2,0,0.8197932814655453,0.6906091140439403,9.112801266497167,0.46438555009542365,891.8759688793273,0,0
44,2,2,0,0.8174360417507718,0.6861517880378232,9.087728807712756,0.17194195514447969,890.4616250504631,0,0
45,2,2,0,0.8141814382607702,0.6813874397680013,9.060929348695007,0.10074810718690173,888.5088629564622,0,0
46,2,2,0,0.809834650974298,0.6763644855702999,9.032675231332936,0.05874990240526419,885.9007905845788,0,0
47,2,2,0,0.8053068355333806,0.6711323432830176,9.003244430966973,0.0649772331392592,883.1841013200284,0,0
48,2,2,0,0.8006414549378125,0.6657412368170279,8.972919457095779,0.07051444635333974,880.3848729626875,0,0
49,2,2,0,0.7958824978765613,0.6602419975462486,8.941986236197646,0.07532745169922932,877.5294987259367,0,0
