Сценарий,Модель,Среднее latency,СКО latency,Среднее jitter,СКО jitter,Среднее energy,СКО energy,Среднее migrations
critical,threshold,18.262375,0.11739896461166895,0.001125,0.03557562367689425,874.5851173093143,69.94138517451196,1
critical,qlearning,17.670460753263278,0.6557335358761445,0.012487098889431926,0.1829464160307034,874.4328222558854,69.96838128568419,12
critical,hybrid,16.40338429034336,0.11349975811127853,0.0038187643916547456,0.07082410850371283,860.667646982722,68.14559410983884,7
standard,threshold,18.8186875,0.562606636965588,0.0005625,0.025155764746872648,796.2913086288926,99.28744855571344,1
standard,qlearning,18.52273037663164,0.9703672289382133,0.006243549444715963,0.12948098488219034,796.2151611021781,99.23689375675232,12
standard,hybrid,17.88919214517168,1.4883437847246224,0.0019093821958273728,0.0501040926064715,789.3325734655963,93.2326291888819,7
mixed,threshold,19.004125,0.5289417445850928,0.000375,0.020539595906443737,778.1884818686287,112.11723103561623,1
mixed,qlearning,17.500861917754428,2.0709103608495205,0.006037366296477309,0.11847068598611174,771.2584940192139,111.88260088683259,17
mixed,hybrid,16.54829476344779,2.255801438945902,0.001439588130551582,0.0419172242409987,764.5497769786743,107.49877461631597,9
dynamic,threshold,18.787664387832105,0.7390239579197833,0.0013261205583000527,0.03883128140380406,802.1632835026139,110.13763974594941,6
dynamic,qlearning,17.50064643831582,1.7933862725161935,0.004528024722357982,0.10262765805408855,795.969936822268,110.35900418198068,17
dynamic,hybrid,16.78622107258584,1.9965047539332588,0.0010796910979136865,0.036305221353509144,790.8901470668417,108.26344278444807,9
